,bathrooms,bedrooms,latitude,longitude,price,num_photos,num_features,num_description_words,created_year,created_month,created_day,manager_id
100063,1.0,2,40.7427,-73.9794,2999,5,9,43,2016,4,7,e6472c7237327dd3903b3d6f6a94515a
100065,1.0,1,40.7447,-73.9741,2595,0,2,9,2016,4,13,8f5a9c893f6d602f4953fcc0b8e6e9b4
100066,1.0,1,40.7074,-74.0081,3695,4,10,112,2016,4,17,6e5c10246156ae5bdcd9b487ca99d96a
10007,2.0,4,40.7391,-73.9936,7400,6,12,137,2016,6,7,0cff4a2a147d81e51ae8a91289e129f7
100071,3.5,4,40.7584,-73.9653,7500,7,12,118,2016,4,27,ad3d8ddc52c7e0859b5c6c7f7949c3bd
100075,1.0,1,40.7728,-73.9502,2295,6,3,63,2016,4,25,4f9b376a972b863bbfbdcdc8d717fa4e
100076,1.0,1,40.7709,-73.9917,3164,6,8,106,2016,4,22,63e8c482071c22f43dd91b954e75cc2c
100079,1.0,1,40.8335,-73.9141,1350,1,0,35,2016,4,21,12c0a30e296faa0dfd422fe918d7d4f4
100081,2.0,2,40.7716,-73.9506,5600,1,8,51,2016,4,26,797f306f24780e1a24e4f063d46a2d8d
100083,1.0,0,40.7897,-73.976,2750,4,6,204,2016,4,21,92ff104c90a9c40d153ea970e19c27c1
100084,1.0,2,40.7902,-73.9678,3500,8,13,137,2016,4,4,bce75205499f22e47b0c1aa94e09131c
100085,1.0,1,40.7179,-74.0148,5165,5,6,45,2016,4,22,9e75980b063d7d41226e28ebc8e02824
100087,1.0,2,40.7301,-73.9942,4400,6,6,63,2016,4,20,9e4ef9d8a24f407bf0b355b27f0d9965
10009,1.0,2,40.844,-73.9404,2300,5,4,72,2016,6,17,7c5e4fc025b70c6540d6b0e06716b9dd
100090,1.0,1,40.79,-73.9418,1650,3,6,146,2016,4,18,42931f67f3661ec1b33d6b7e42754d9a
100096,1.0,0,40.8184,-73.9389,1300,3,6,125,2016,4,4,fb520ae87b8a3b3eb646e137f0c8ddc8
100098,1.0,0,40.7649,-73.9763,1980,2,6,114,2016,4,17,32bf3cd19652f17e3764c055b7a9178e
100099,2.0,2,40.7471,-73.9867,6500,6,8,130,2016,4,6,ad3d8ddc52c7e0859b5c6c7f7949c3bd
10010,1.0,0,40.753,-73.9959,2396,4,14,81,2016,6,29,6a6c75bdb10af785bebd2a09a53fc4c2
100100,1.0,3,40.7231,-74.0044,3733,11,1,6,2016,4,18,64249f81378907ae7cf65e8ccb4bd8dc
100102,3.0,4,40.7723,-73.9533,15000,5,18,85,2016,4,12,964dc31a872efa33fee9af11f62e843c
100107,1.0,0,40.7753,-73.954,2400,7,7,142,2016,4,19,537e06890f6a86dbb70c187db5be4d55
100112,1.0,0,40.7739,-73.9511,1850,5,6,94,2016,4,29,cb87dadbca78fad02b388dc9e8f25a5b
100113,1.0,1,40.8031,-73.957,2500,5,2,72,2016,4,9,baf2b718f413a41eba82a1354a82ca86
100115,1.0,1,40.7975,-73.9626,2045,5,2,100,2016,4,25,44500d5a13767adee85ea875fb2d3bd5
100117,1.0,0,40.7372,-73.9981,2650,5,5,81,2016,4,29,aa5f74da43dceaca9b34ed7f55a39f5d
100119,1.0,2,40.7479,-74.0005,3745,4,8,137,2016,4,9,6be05c0ba31bf6adce280cf734933a12
10012,1.0,1,40.7802,-73.9504,1900,16,0,4,2016,6,21,ac888923cda3b9e4f0311267be25de9c
100124,1.0,2,40.7377,-73.9831,5595,4,13,104,2016,4,11,046ed6c8a67bc942fcf4ca43e96f27d8
100127,1.0,1,40.7263,-73.8573,1750,15,3,48,2016,4,21,8cf9abc6cca9aefe093ce533a05001cb
100129,1.0,1,40.7267,-73.8569,1650,9,1,73,2016,4,30,e6472c7237327dd3903b3d6f6a94515a
100131,1.0,0,40.7817,-73.9573,3500,6,6,70,2016,4,12,2ce4ad2a77bc8190427196ea1e8cfe4e
100132,1.0,1,40.789,-73.9756,3300,7,9,107,2016,4,9,e0af09eba42a9af0626d15c8d9505043
100133,1.0,0,40.7522,-73.9702,2790,4,5,79,2016,4,2,20c56899ba45dee967a4d1143e5bbfb4
100136,2.0,2,40.7059,-73.8339,2100,23,0,42,2016,4,12,fc3eb34da075c0a3835533f61f0851f9
100137,1.0,2,40.7943,-73.9675,3200,6,3,166,2016,4,21,612a00076aefe8c98d1df4835640c74b
100138,1.0,0,40.7699,-73.9565,2700,0,0,1,2016,4,26,b7de4cb395920136663132057fa89d84
100139,1.0,3,40.766,-73.9914,4500,9,8,47,2016,4,26,601ad03225d7cb9a55615c91445d9b9f
10014,1.0,1,40.6888,-73.9522,2000,5,2,28,2016,6,8,9ba3641676cc717a8b65d59dac8545fb
100140,1.0,2,40.7493,-73.7142,1900,10,0,64,2016,4,23,17c1a97107fcbd846a1e16b576b450f6
100141,1.0,1,40.7892,-73.9705,3200,5,5,99,2016,4,20,097ed047cd8f606519a6e709ecd94af1
100144,1.0,0,40.7571,-73.9647,2290,7,7,90,2016,4,13,fcf67d5c4433feefe6b9e7f7551f4334
100149,1.0,2,40.7299,-73.9819,3895,2,6,149,2016,4,11,e384b5da0ca76f41ca6d1412b984b6a0
100151,1.0,1,40.7796,-73.9493,2200,5,4,70,2016,4,30,381152a75a238372d3d475934219eb6d
100156,1.0,1,40.7459,-73.9564,3200,0,4,9,2016,4,15,e6472c7237327dd3903b3d6f6a94515a
100160,1.0,1,40.7467,-73.9854,4455,8,7,130,2016,4,15,63e8c482071c22f43dd91b954e75cc2c
100161,1.0,1,40.7619,-73.9854,3697,0,9,1,2016,4,19,62b685cc0d876c3a1a51d63a0d6a8082
100166,2.0,2,40.7341,-73.9896,5700,6,8,125,2016,4,8,2a1ee03b449700c3a15dd8c9a505c525
100170,1.0,2,40.7413,-73.9779,3400,5,10,146,2016,4,27,54bf50a3e709c0bd499f9fdca5826147
100172,1.0,1,40.7351,-73.9531,2550,11,13,132,2016,4,15,63a31e03e634df5a205aeee36d70adfb
100175,1.0,2,40.8028,-73.9648,3200,5,3,60,2016,4,19,3ca41875dd95b256a1ecc858b9992909
100177,2.0,3,40.7196,-74.0109,6320,7,10,143,2016,4,10,e6472c7237327dd3903b3d6f6a94515a
100179,1.0,1,40.7777,-73.9532,2945,0,4,1,2016,4,18,d1737922fe92ccb0dc37ba85589e6415
100181,2.0,2,40.7087,-74.0058,4600,7,9,183,2016,4,20,e6472c7237327dd3903b3d6f6a94515a
100182,2.0,2,40.7924,-73.9741,7800,18,5,47,2016,4,18,2f1ac1463ec2b0212f337801d176951f
100184,2.0,2,40.7756,-73.9846,7000,11,11,175,2016,4,14,387d5ab4d392fe8c76b299aed066e1a1
100185,1.0,2,40.7054,-74.0095,3250,5,13,41,2016,4,13,b20626984bc9569c6e274dc3a992aeb9
100188,1.0,0,40.7108,-73.8543,1400,3,0,35,2016,4,15,e6472c7237327dd3903b3d6f6a94515a
100193,1.0,1,40.7802,-73.9444,3195,8,8,268,2016,4,29,d4ac73eb4e92b2183b270e9961429860
100196,1.0,1,40.664,-73.9342,1495,3,1,66,2016,4,14,81318521f3b848bda5c6561a6ea3f569
100198,1.0,1,40.7349,-73.9863,3850,6,7,151,2016,4,3,fb0780fc846ef45ec33524062cba28fb
1002,1.0,0,40.7617,-73.9626,2625,5,0,44,2016,6,24,e6472c7237327dd3903b3d6f6a94515a
10020,1.0,3,40.8394,-73.9381,2500,6,1,37,2016,6,12,1569bdfd04db2539274ccaa530667da4
100200,1.0,2,40.7931,-73.9715,3095,0,3,2,2016,4,20,979f1bb31a3acc6159a6776e168f59b2
100203,3.5,4,40.7788,-73.9538,13500,9,6,124,2016,4,9,d2bce61e0e0079ebdc8c281e415e045b
100205,1.0,2,40.6578,-73.9259,1700,5,1,80,2016,4,9,630b5501830bf5e1aafacb4f7cdf2750
100206,1.0,0,40.769,-73.9541,1850,5,3,61,2016,4,6,35af1611db6bc8ffe0488799a5bc97d3
100209,1.0,2,40.6633,-73.9824,2050,2,2,135,2016,4,4,2f9835382bab727f99bfb0519a776650
10021,1.0,1,40.7762,-73.9592,4000,5,10,112,2016,6,1,aa9e353a6b43b125cbc89cb751090a9e
100213,1.0,0,40.7604,-73.9617,1950,4,1,9,2016,4,16,60fd659c992c607b2560700e0e9eb052
100214,1.0,1,40.778,-73.9774,2750,5,2,32,2016,4,15,0ff0d93046667461eb044371b68a4999
100215,2.0,3,40.7801,-73.9803,4900,2,5,45,2016,4,27,47d895a9b0e381e28a846d005fdbb84f
100216,1.0,3,40.7447,-74.0052,6500,11,7,189,2016,4,13,ffd7307e4924587b30ec014a95db1362
100219,1.0,2,40.6896,-73.9982,2300,0,3,10,2016,4,14,74bc431ae127fcf8f62f0b62ad51e9eb
100221,1.0,2,40.7306,-73.8519,2350,1,0,48,2016,4,16,4c2d70526b6dce48b9785a2dbfd9d5a0
100222,1.0,2,40.7318,-74.0016,3900,3,4,75,2016,4,18,c98786b9944c37c6a7edadc2a7f9bbb9
100224,1.0,3,40.7594,-73.9712,4000,5,13,87,2016,4,22,1fb46c4a72bcf764ac35fc23f394760d
100227,2.0,3,40.748,-73.9572,3850,6,12,98,2016,4,27,38b9b12248c3606e54559a4c8e4f50d6
100233,1.0,1,40.7681,-73.9858,3995,1,3,20,2016,4,21,88546921fe21ff334e8d32e4b6929e2c
100234,1.0,2,40.624,-74.0312,2000,5,0,84,2016,4,13,6f63020874d0bac3287ec5cdf202e270
100235,2.0,2,40.7161,-73.9548,4823,8,5,105,2016,4,30,f2a817fc83944fa5a7f7d0787e879871
100237,1.0,1,40.7676,-73.9577,2700,6,6,113,2016,4,15,4f9b376a972b863bbfbdcdc8d717fa4e
100240,1.0,1,40.707300000000004,-74.0046,2695,3,8,112,2016,4,6,614e9c02bcb1b7feaff502d4c1203c47
100241,1.0,1,40.5946,-73.9617,1800,4,0,59,2016,4,23,8b53ccf4338806ab1be3dd0267711649
100243,1.0,2,40.7426,-73.979,3295,3,2,25,2016,4,17,5a002b00880a84406292a8dfe54f8c72
100245,1.0,0,40.7793,-73.9496,1725,0,3,25,2016,4,3,de5a3f7ce7f44d5eef8ee30fe201ae50
100246,1.0,1,40.7216,-73.9423,2250,5,1,63,2016,4,18,5ba989232d0489da1b5f2c45f6688adc
100247,1.0,1,40.7802,-73.9504,2300,4,3,45,2016,4,2,45c368df2d91ab418581ce5f42df7d70
100248,1.0,1,40.7128,-74.0059,3400,6,8,100,2016,4,4,045f9f5708f6896535892b85a81d8151
100250,1.0,2,40.7763,-73.9518,3050,2,3,62,2016,4,26,ae6a7f07ee1bf1958fc029059f2fb8a2
100251,1.5,2,40.7676,-73.9813,6500,6,0,98,2016,4,17,390d13221ebd3317f174c968a1035624
100253,2.0,2,40.5757,-73.9686,3250,0,1,9,2016,4,11,c55f41447269371b42b287c8dadc0479
100254,2.0,2,40.7777,-73.9883,5020,4,5,69,2016,4,14,4c3f94bbeb225973612b6004ce5b8bc7
100256,1.0,2,40.8034,-73.9661,3200,4,3,113,2016,4,28,5bc73e6df7d8c3f210c3d4216a580668
100259,1.0,1,40.7133,-73.9395,2199,7,0,74,2016,4,29,44f88993b340ce5a2518a7103aaa623c
100260,1.0,2,40.8678,-73.9251,1695,7,1,55,2016,4,10,1133f564d46b8a76c96857ad34fb4d16
100262,1.0,1,40.7592,-73.9903,2150,5,1,45,2016,4,11,699c325b818541f314b691b76f3238d7
100263,2.0,2,40.7779,-73.9525,6475,4,2,85,2016,4,26,381040570cc863b743a9fce1a6ae9724
100264,1.0,1,40.7064,-74.01,2750,8,11,188,2016,4,7,3d46c1ae1988d7ce646081408c421675
100265,2.0,4,40.7108,-73.9878,5300,4,13,122,2016,4,27,2327c59ab1ee1a49eca7124ffc05d88a
100270,1.0,1,40.7856,-73.9794,2195,3,4,83,2016,4,14,e6472c7237327dd3903b3d6f6a94515a
100274,2.0,4,40.7281,-73.9812,5900,10,1,108,2016,4,16,12c3a2f5c3299f3e3a26c192f52e61ad
100276,1.0,0,40.7393,-73.9817,2500,7,3,294,2016,4,20,85860e99ade732afc385111568f8e602
100277,1.0,2,40.7736,-73.947,2750,4,0,62,2016,4,26,2ec6c71d78dd9df9046ce6899ec42de8
100278,1.0,1,40.7633,-73.9628,3200,4,9,48,2016,4,24,7b159051957a4788a872ecb307613757
100279,1.0,0,40.7444,-73.9754,2400,6,9,89,2016,4,20,eb5a6c4c2eb6f3e2a085c477afd5a815
100282,2.0,3,40.7796,-73.7804,2000,11,2,42,2016,4,19,a9a44735cc7189ed019a0d383eb6d1c9
100283,1.0,2,40.7697,-73.9581,3300,6,3,107,2016,4,18,e6472c7237327dd3903b3d6f6a94515a
100286,1.0,0,40.7075,-74.0113,3090,3,9,125,2016,4,27,e6472c7237327dd3903b3d6f6a94515a
100287,1.0,3,40.7264,-73.9836,4895,5,6,275,2016,4,7,17c72c26cc226ed1106689a06cfe5bce
10029,1.0,2,40.7947,-73.9667,5465,4,5,255,2016,6,2,cca9105ab4989fe60d622922e0ec8dd3
100296,1.0,3,40.7983,-73.9416,2000,5,0,35,2016,4,27,a5bd6bc8ee3438115452b14005105a82
100297,1.0,0,40.7481,-73.9748,2700,5,8,144,2016,4,21,8262449f40e9117f7a9ea49b4a333993
100299,1.0,1,40.7993,-73.9689,2400,4,1,49,2016,4,13,0ff0d93046667461eb044371b68a4999
10030,1.0,3,40.7694,-73.9603,4400,7,8,137,2016,6,29,3fc15c3a17757c4cfd76120ad9c86583
100300,1.0,1,40.7299,-73.9819,2795,4,5,108,2016,4,5,06ba79af09fa392b303d82c65318e94a
100302,1.0,2,40.7751,-73.9481,2475,6,0,50,2016,4,20,370a9b35c74f968387f3be370fbed8e6
100305,2.0,2,40.7922,-73.9645,5495,4,4,92,2016,4,2,92a757ce36e48af73be556e51f0cdfa2
100307,1.0,0,40.7366,-73.9934,2900,3,6,68,2016,4,17,1729cc4d62ab0cec44dcfd6757d44d65
100308,2.0,3,40.6896,-73.9527,3462,4,11,428,2016,4,25,19bc090c14e88401ebcde3b994e0b078
100310,2.0,1,40.7324,-74.0081,8400,4,9,80,2016,4,4,25c47e79395288509330606bca79f6fc
100311,1.0,1,40.7412,-73.9772,3150,1,1,28,2016,4,21,e32475a6134d6d18279946b7b20a0f12
100314,1.0,0,40.754,-73.9678,2600,4,9,63,2016,4,16,37fce597a1af22c2d2f5e82fe857d69e
100316,1.0,0,40.7382,-73.9965,3995,7,5,38,2016,4,22,d8e89ad5c34d3aa9aeb38c8b2cd85351
100317,1.0,1,40.764,-73.98,3600,5,6,20,2016,4,17,60754f2d2667589daed8c3b116a7dce1
100318,1.0,2,40.7401,-74.0039,5400,5,8,152,2016,4,3,8063dd01666d424edde651c1d24d196f
100319,1.0,1,40.7481,-73.9564,2983,12,12,115,2016,4,24,0b8a0fb573c92be71bc4e077aec9a570
100322,1.0,1,40.7723,-73.948,2400,7,0,85,2016,4,6,c71cf1f472cf9b4b4517ea23fb6f2c91
100324,1.0,3,40.7681,-73.9527,13500,6,13,144,2016,4,15,11c00e995d6b314daa729b6ab9b9112c
10033,1.0,0,40.7777,-73.9498,1800,4,3,46,2016,6,4,11c00e995d6b314daa729b6ab9b9112c
100331,1.0,1,40.7951,-73.9676,2700,5,8,100,2016,4,19,f57c49e2a0332e31fa984b47237fcd90
100332,1.0,1,40.6905,-73.9668,2200,5,2,105,2016,4,11,5ba989232d0489da1b5f2c45f6688adc
100333,1.0,1,40.7612,-73.9978,3346,6,6,30,2016,4,2,d24abc331d8b47f73a369795690c010a
100335,2.0,3,40.7906,-73.9687,6000,1,6,4,2016,4,30,a5b9c4d7d495b085331f45ac21a34369
100338,1.0,2,40.8666,-73.9217,2195,3,2,41,2016,4,6,b90228c187744e99a88c01c597bdc253
10034,1.0,1,40.7692,-73.9847,5200,8,9,100,2016,6,4,6e5c10246156ae5bdcd9b487ca99d96a
100343,2.0,3,40.7075,-74.0059,4500,11,10,116,2016,4,26,8128a59a1646a554a34a76e5f1b77b9e
100345,2.0,3,40.6812,-73.9105,2395,8,2,133,2016,4,13,51947c11031522c4306e92a260cd7bfe
100346,1.0,1,41.0412,-73.54,2195,11,14,151,2016,4,15,9df32cb8dda19d3222d66e69e258616b
100348,2.0,2,40.7634,-73.9596,5200,4,6,71,2016,4,20,6b1ee996b1c87cd54c6cd92acbef9aac
100356,2.0,4,40.7307,-73.9837,5800,8,5,105,2016,4,15,30a7951cfc21240e8c46b2d079d292e5
100358,1.0,0,40.7242,-73.9878,1975,3,1,22,2016,4,17,5a002b00880a84406292a8dfe54f8c72
100359,1.0,0,40.7298,-73.9868,2750,6,1,59,2016,4,12,c722e143a8b773707686f79bf5f5250c
100360,1.0,1,40.7658,-73.9781,3750,8,7,102,2016,4,6,6e5c10246156ae5bdcd9b487ca99d96a
10037,2.0,3,40.7548,-73.9944,4555,7,12,135,2016,6,2,83a5dbd2793560de8fcdeaad725defcd
100371,2.0,2,40.7437,-73.9585,4890,15,0,49,2016,4,21,e6472c7237327dd3903b3d6f6a94515a
100377,1.0,3,40.7177,-73.9984,4595,3,3,51,2016,4,10,9daa743d34f2bf6917a2ce0c1716784f
100380,1.0,2,40.763,-73.9579,2800,7,1,53,2016,4,10,c98786b9944c37c6a7edadc2a7f9bbb9
100382,1.0,1,40.6663,-73.9402,1800,8,4,57,2016,4,23,838023ee19585f31c7eb9ad95f4fc4d0
100385,1.0,1,40.7406,-73.9822,3195,5,2,4,2016,4,17,e6472c7237327dd3903b3d6f6a94515a
100386,1.0,1,40.755,-73.9663,2675,5,5,170,2016,4,28,1dc73580d149c88bd976bba1c4a02b12
100387,2.0,2,40.7621,-73.9956,5450,5,11,151,2016,4,29,7af2e2e04e79dbd792fb78acaddad3dc
100390,2.0,3,40.7469,-73.9803,5000,6,13,84,2016,4,29,0c71a59cb70215fbf49c9dd93efaa172
100391,1.0,1,40.7111,-73.8272,1675,1,5,1,2016,4,10,e6472c7237327dd3903b3d6f6a94515a
100392,2.0,2,40.7182,-74.0148,6200,6,9,146,2016,4,26,5599e962719af3ccc2976855c2d5893c
100395,1.0,2,40.8217,-73.9486,2500,4,5,103,2016,4,15,ffd7307e4924587b30ec014a95db1362
100399,1.0,3,40.7265,-73.9835,4750,3,1,89,2016,4,27,92aa3b535f48ec05903a3b7fcdafd411
1004,1.0,1,40.7441,-73.8792,1700,12,2,25,2016,6,21,9d4e9396e7e256947ac6242aee963d88
10040,1.0,0,40.7689,-73.9681,2850,3,3,57,2016,6,16,427ef54edaa7a0207b53f77679c01ba1
100400,1.0,0,40.7032,-73.9914,3035,7,16,164,2016,4,12,b97117e40a460ef017b068d4db1dc078
100403,1.0,1,40.7787,-73.9751,3100,4,2,88,2016,4,4,de09725e4303496d757ed0b77c0baee2
100406,1.0,1,40.7265,-73.9851,3195,10,8,101,2016,4,9,2327c59ab1ee1a49eca7124ffc05d88a
100410,1.0,2,40.7491,-73.9789,3450,2,5,179,2016,4,29,9d32b720e26a351b951c8f78f72f2fec
100411,1.0,1,40.7793,-73.9496,1895,2,3,64,2016,4,21,44736fb7de33f8ea3c34c0500e6932c3
100412,1.0,1,40.7726,-73.926,2600,6,2,114,2016,4,21,28d3972ecaa188fc63d754ab37f6c6bf
100417,1.0,1,40.7462,-73.9757,3175,5,5,73,2016,4,15,2504fa7eba54ebb09325c693bb283afc
100419,1.0,1,40.7346,-74.0018,2600,5,4,180,2016,4,7,638ed61433b8d4a30d9498bd516d65cb
100422,1.0,2,40.7062,-74.0099,3025,5,8,148,2016,4,24,2aa9bfa5f67ed9997ea341dee8a3a271
100423,1.0,1,40.7704,-73.9566,3790,3,6,114,2016,4,13,0f57223e3bbd5222d9881a442aba0d03
100424,1.0,2,40.7616,-73.9643,4600,7,1,56,2016,4,27,34f25ae3a7915b61d4a129240504ce71
100427,1.0,3,40.755,-73.9636,4450,6,7,139,2016,4,6,30a7951cfc21240e8c46b2d079d292e5
100429,1.0,3,40.7588,-73.9907,3200,4,4,46,2016,4,30,e6472c7237327dd3903b3d6f6a94515a
100433,1.0,1,40.6911,-73.9822,2769,3,9,148,2016,4,10,baf49136d7aa3f4908ed35ffc39dbdb1
100437,1.0,1,40.7417,-73.9806,3800,17,5,166,2016,4,7,5814d3532d88d575b189bde891a91086
100438,1.0,2,40.7603,-73.995,2595,5,2,47,2016,4,17,41735645e0f8f13993c42894023f8e58
100439,1.0,1,40.7658,-73.9781,3775,8,5,105,2016,4,9,94b929a14e00ba49b6c24d99a2552800
100440,1.0,2,40.8342,-73.9427,1895,0,3,34,2016,4,8,29e54a99eff5480717f3236da52aed01
100444,2.0,3,40.7604,-73.987,4700,6,9,178,2016,4,13,4159dc0053e9c2ef4d425fa5bea5acd1
100445,1.0,2,40.746,-73.9754,3495,6,6,116,2016,4,26,41a6f5de0a1ad6b60c40231699badb5d
100446,1.0,1,40.7771,-73.9496,2800,0,3,18,2016,4,16,466b3f45a181e0a05972d77cadc61bef
100449,1.0,1,40.7412,-73.9772,3050,10,5,70,2016,4,27,1ce456323441ffd6a3b29a98cd5fc7fe
10045,2.0,3,40.6577,-73.9055,2300,20,3,200,2016,6,21,aaa491280346f918ae482178203d2a7b
100451,1.0,1,40.7637,-73.9846,2975,8,8,150,2016,4,12,7af2e2e04e79dbd792fb78acaddad3dc
100454,1.0,2,40.7095,-74.0094,3150,7,7,85,2016,4,19,045f9f5708f6896535892b85a81d8151
100457,2.5,3,40.7425,-73.9926,15500,6,11,113,2016,4,13,6e5c10246156ae5bdcd9b487ca99d96a
100458,1.0,2,40.7088,-74.0143,3300,8,9,140,2016,4,8,ec4a185a4728e76b351ec7eb1a73b7c3
100463,2.0,3,40.7722,-73.9606,8200,7,3,52,2016,4,13,2ce4ad2a77bc8190427196ea1e8cfe4e
100464,1.0,2,40.7489,-73.9765,3276,4,6,133,2016,4,24,e6472c7237327dd3903b3d6f6a94515a
100465,1.0,4,40.7274,-73.9882,5800,4,0,160,2016,4,8,b6366b42ae29a86e2e33ffc66cfeafc7
100467,1.0,1,40.7512,-74.0026,4030,0,5,1,2016,4,9,62b685cc0d876c3a1a51d63a0d6a8082
100468,1.0,1,40.7593,-73.9962,3129,8,15,153,2016,4,27,f403f02183c46e92f0d690db49085c38
100469,1.5,3,40.753,-73.9959,4400,8,14,101,2016,4,27,3d61dc38744a7f36140c27520060db59
100471,1.0,3,40.8008,-73.9611,2950,8,3,147,2016,4,23,bc9a2ff7c931ce7de08f50d429134a16
100472,1.0,3,40.7221,-73.9837,4899,7,6,103,2016,4,28,be8b38e3002bc1f262025751cd4b081b
100473,1.0,1,40.731,-73.9876,3195,4,2,183,2016,4,8,87841ad37b67442341877b2f26194343
100475,1.0,0,40.7928,-73.9758,2300,3,5,59,2016,4,26,ae6a7f07ee1bf1958fc029059f2fb8a2
100477,1.0,2,40.753,-73.9695,3500,7,7,92,2016,4,27,3d61dc38744a7f36140c27520060db59
100479,1.0,2,40.7302,-73.9826,3250,5,4,54,2016,4,9,e6472c7237327dd3903b3d6f6a94515a
10048,1.0,0,40.7663,-73.8288,1350,9,4,82,2016,6,12,d6cb3ffc17469f1cc679548165ef3af0
100482,1.0,0,40.7328,-74.0089,2500,8,6,23,2016,4,13,b5b5d584aa9de238d448fab53af43272
100489,1.0,1,40.7992,-73.9674,2450,5,2,218,2016,4,20,fd6fed0b663b537af5e8d11721ba0dd9
100490,1.0,0,40.7588,-73.9694,2400,6,5,50,2016,4,21,456c0f57a55084af81c46430034c848d
100491,1.0,2,40.756,-73.9687,2800,7,0,80,2016,4,4,c71cf1f472cf9b4b4517ea23fb6f2c91
100493,1.0,0,40.7612,-73.9978,2600,4,12,86,2016,4,24,0ed57b5c37f43e77267e2fc69b72d9f5
100497,2.0,3,40.7297,-73.986,5100,7,7,284,2016,4,12,04d886cd623c763ef8964c0884f8c9e0
100498,1.0,2,40.7444,-74.0,3600,3,2,65,2016,4,21,d23f9a9e6b9f6003f26017bda6dd1cb2
100502,1.0,1,40.742,-73.9826,1800,6,1,121,2016,4,29,e933afc996f68d50e507c0abc99ec068
100504,1.0,1,40.7976,-73.968,2300,10,3,164,2016,4,13,bc9a2ff7c931ce7de08f50d429134a16
100509,1.0,1,40.7836,-73.9491,2295,4,1,83,2016,4,27,e6472c7237327dd3903b3d6f6a94515a
100511,1.0,1,40.7868,-73.9504,3138,7,11,123,2016,4,13,6e5c10246156ae5bdcd9b487ca99d96a
100512,1.0,3,40.8035,-73.9567,3750,12,10,154,2016,4,15,2d36cb7738bcb9b089c8d9b9fff44674
100514,1.0,2,40.708,-74.0149,3097,2,9,99,2016,4,12,92aa3b535f48ec05903a3b7fcdafd411
100515,1.0,2,40.7803,-73.9465,2495,7,1,42,2016,4,5,d093b551a87ff97822db6dbbeb5544c7
100518,1.5,1,40.7861,-73.9777,3400,3,5,167,2016,4,19,63d5f0bfde0572ebcaac2c42f80c7fa5
10052,1.0,0,40.7032,-73.9914,3156,1,4,146,2016,6,21,33525116a8b4683f8757f2423fc844f6
100521,2.0,2,40.7111,-74.0055,6500,4,9,107,2016,4,28,d2bce61e0e0079ebdc8c281e415e045b
100523,1.0,1,40.7356,-73.9828,2830,4,4,74,2016,4,20,ad87505a08c0526bc5c16796f35443eb
100524,1.0,2,40.7316,-73.9839,3400,11,14,46,2016,4,27,8365f1154ced533439de202ebada41e2
